model,phase,run,n_gt,n_model,n_matched,precision,recall,f1,acc_title,acc_arrival_date,acc_departure_date,acc_place_of_stay,acc_with_spouse,acc_with_siblings,acc_children_count,acc_place_of_origin
claude,a,1,65,63,48,0.7619,0.7385,0.7500,0.8854,0.8492,0.8477,0.6850,1.0000,1.0000,1.0000,0.8005
claude,a,2,65,64,43,0.6719,0.6615,0.6667,0.8488,0.9410,0.9172,0.6992,1.0000,0.9767,1.0000,0.8372
claude,a,3,65,64,48,0.7500,0.7385,0.7442,0.9062,0.8524,0.8666,0.5947,0.9792,1.0000,1.0000,0.8162
claude,a,4,65,63,48,0.7619,0.7385,0.7500,0.8880,0.8492,0.8496,0.6599,0.9792,1.0000,1.0000,0.8042
claude,a,5,65,64,43,0.6719,0.6615,0.6667,0.8662,0.9432,0.9201,0.7162,1.0000,0.9535,1.0000,0.8257
claude,a,6,65,63,48,0.7619,0.7385,0.7500,0.8854,0.8492,0.8294,0.6026,1.0000,1.0000,1.0000,0.7982
claude,a,7,65,63,48,0.7619,0.7385,0.7500,0.8880,0.9357,0.9284,0.7088,1.0000,0.9375,1.0000,0.8612
claude,a,8,65,63,46,0.7302,0.7077,0.7188,0.8804,0.9389,0.9233,0.6860,1.0000,0.9783,1.0000,0.7293
claude,a,9,65,63,42,0.6667,0.6462,0.6562,0.8452,0.8534,0.8310,0.7226,1.0000,0.9524,1.0000,0.8382
claude,a,10,65,64,48,0.7500,0.7385,0.7442,0.9062,0.8524,0.8484,0.6439,1.0000,1.0000,1.0000,0.8127
claude_thinking,a,1,65,65,52,0.8000,0.8000,0.8000,0.8438,0.9463,0.9080,0.6937,1.0000,0.9615,1.0000,0.8053
claude_thinking,a,2,65,64,49,0.7656,0.7538,0.7597,0.8697,0.9752,0.9432,0.6862,1.0000,0.9388,1.0000,0.8447
claude_thinking,a,3,65,64,52,0.8125,0.8000,0.8062,0.8508,0.9762,0.9441,0.6577,1.0000,0.9615,1.0000,0.8495
claude_thinking,a,4,65,65,51,0.7846,0.7846,0.7846,0.8931,0.9467,0.9632,0.6530,1.0000,0.9608,1.0000,0.8654
claude_thinking,a,5,65,65,49,0.7538,0.7538,0.7538,0.8531,0.9327,0.9470,0.6884,1.0000,0.9388,1.0000,0.8429
claude_thinking,a,6,65,63,51,0.8095,0.7846,0.7969,0.8414,0.9475,0.9623,0.6134,1.0000,1.0000,1.0000,0.9009
claude_thinking,a,7,65,64,48,0.7500,0.7385,0.7442,0.8298,0.8222,0.9339,0.5935,1.0000,0.9583,1.0000,0.8454
claude_thinking,a,8,65,64,47,0.7344,0.7231,0.7287,0.9080,0.9682,0.9208,0.6903,1.0000,0.9574,1.0000,0.8133
claude_thinking,a,9,65,63,49,0.7778,0.7538,0.7656,0.8835,0.9345,0.9261,0.6628,1.0000,0.9592,1.0000,0.8027
claude_thinking,a,10,65,63,49,0.7778,0.7538,0.7656,0.8661,0.9698,0.9548,0.6910,1.0000,0.9592,1.0000,0.8552
gemini31,a,1,65,65,62,0.9538,0.9538,0.9538,0.8294,0.9700,0.9508,0.7876,1.0000,0.9677,1.0000,0.9211
gemini31,a,2,65,65,62,0.9538,0.9538,0.9538,0.8089,0.9690,0.9508,0.7906,1.0000,0.9677,1.0000,0.9211
gemini31,a,3,65,65,63,0.9692,0.9692,0.9692,0.8051,0.9705,0.9516,0.7945,1.0000,0.9683,1.0000,0.9178
gemini31,a,4,65,65,63,0.9692,0.9692,0.9692,0.8031,0.9695,0.9516,0.7748,1.0000,0.9683,1.0000,0.9178
gemini31,a,5,65,65,63,0.9692,0.9692,0.9692,0.8051,0.9705,0.9516,0.7945,1.0000,0.9683,1.0000,0.9178
gemini31,a,6,65,65,62,0.9538,0.9538,0.9538,0.8089,0.9690,0.9508,0.7746,1.0000,0.9677,1.0000,0.9188
gemini31,a,7,65,65,63,0.9692,0.9692,0.9692,0.8031,0.9695,0.9516,0.7748,1.0000,0.9683,1.0000,0.9178
gemini31,a,8,65,65,63,0.9692,0.9692,0.9692,0.8031,0.9695,0.9516,0.7748,1.0000,0.9683,1.0000,0.9178
gemini31,a,9,65,65,62,0.9538,0.9538,0.9538,0.8109,0.9700,0.9508,0.7946,1.0000,0.9677,1.0000,0.9188
gemini31,a,10,65,65,63,0.9692,0.9692,0.9692,0.8051,0.9705,0.9516,0.7945,1.0000,0.9683,1.0000,0.9178
gemini,a,1,65,65,46,0.7077,0.7077,0.7077,0.8033,0.9620,0.9426,0.4244,1.0000,0.9130,0.9783,0.6679
gemini,a,2,65,67,41,0.6119,0.6308,0.6212,0.8075,0.9824,0.9667,0.4788,1.0000,0.9268,1.0000,0.7144
gemini,a,3,65,67,44,0.6567,0.6769,0.6667,0.8307,0.9686,0.9627,0.5269,1.0000,0.9545,1.0000,0.6499
gemini,a,4,65,65,42,0.6462,0.6462,0.6462,0.8613,0.9715,0.9609,0.5262,1.0000,0.9524,1.0000,0.8180
gemini,a,5,65,68,43,0.6324,0.6615,0.6466,0.8025,0.9841,0.9421,0.4871,1.0000,0.9535,0.9767,0.7477
gemini,a,6,65,65,46,0.7077,0.7077,0.7077,0.8033,0.9620,0.9426,0.4244,1.0000,0.9130,0.9783,0.6679
gemini,a,7,65,68,44,0.6471,0.6769,0.6617,0.8307,0.9693,0.9414,0.4875,1.0000,0.9545,0.9773,0.6813
gemini,a,8,65,66,46,0.6970,0.7077,0.7023,0.8033,0.9583,0.9643,0.4547,1.0000,0.9130,1.0000,0.6944
gemini,a,9,65,65,39,0.6000,0.6000,0.6000,0.8660,0.9711,0.9579,0.5001,1.0000,0.9487,1.0000,0.8004
gemini,a,10,65,67,40,0.5970,0.6154,0.6061,0.8027,0.9866,0.9378,0.4670,1.0000,0.9500,0.9750,0.7031
