keep,field,ground_truth,acceptable_alternative,n,N,A,B,models,pages,raw_variants,verdict
,place_of_stay,alla cortesia san angelo,alla posta in san angelo,13,9,4,0,gemini,39,Alla Posta in S. Angelo,wrong
,place_of_stay,alla cortesia san angelo,alla cortesia san san angelo,8,0,0,8,gpt,39,"Alla Cortesia, S. Sant'Angelo",wrong
,place_of_stay,alla cortesia san angelo,alla cortezia san angelo,6,4,2,0,claude_thinking,39,Alla Cortezia S. Angelo | Alla Cortezia St. Angelo,wrong
,place_of_stay,alla cortesia san angelo,casa di q.l seg.r all' ospizio,4,4,0,0,gemini,39,in Casa di q.l Seg.r all'Ospizio,wrong
,place_of_stay,alla cortesia san angelo,alla cortesia santi angelo,3,3,0,0,claude claude_thinking,39,Alla Cortesia SS. Angelo | Alla Cortesia Sti Angelo,wrong
,place_of_stay,alla cortesia san angelo,casa di iseppo sciallegio alla posta in san angelo,3,0,3,0,gemini,39,Casa di Iseppo Sciallegio Alla Posta in S. Angelo,wrong
,place_of_stay,alla cortesia san angelo,alla cortesia san angiolo,2,0,2,0,claude_thinking,39,Alla Cortesia S. Angiolo,wrong
,place_of_stay,alla cortesia san angelo,cortesia san angelo,2,2,0,0,claude,39,Cortesia S. Angelo,wrong
,place_of_stay,alla cortesia san angelo,osp.o di san gallo,2,0,2,0,gemini,39,Osp.o di S. Gallo,wrong
,place_of_stay,alla cortesia san angelo,s.a lise di s.ta all' ospizio alla posta in san angelo,2,2,0,0,gemini,39,in S.a Lise di S.ta all'Ospizio Alla Posta in S. Angelo,wrong
,place_of_stay,alla cortesia san angelo,alla cortisia san angela,1,1,0,0,claude_thinking,39,Alla Cortisia Sta. Angela,wrong
,place_of_stay,alla cortesia san angelo,alla cortisia san angelo,1,1,0,0,claude_thinking,39,Alla Cortisia St. Angelo,wrong
,place_of_stay,alla cortesia san angelo,alla pellegrina s.ta maria zobenigo,1,1,0,0,gemini,39,,wrong
,place_of_stay,alla cortesia san angelo,dalla loc.a di san giorgio san angelo,1,0,1,0,gemini,39,dalla Loc.a di S. Giorgio S. Angelo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà feltrina sta maria zobenigo,20,10,10,0,gemini31,39,Alla C.a Feltrina Sta Maria Zobenigo | Alla Ca' Feltrina Sta Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà pestiora san maria zobenigo,8,0,8,0,claude,39,Alla Ca' Pestiora S. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà delfina san maria zobenigo,7,7,0,0,claude claude_thinking,39,Alla Ca' Delfina St. Maria Zobenigo | Alla Ca. Delfina St. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,s.a giustina all' ospizio,7,7,0,0,gemini,39,S.a Giustina all'Ospizio | in S.a Giustina all'Ospizio,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà pelarina in san maria zobenigo,6,4,2,0,gpt,39,Alla Ca' Pelarina in S. Maria Zobenigo | Alla Ca’ Pelarina in S. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla colomba sta maria zobenigo,4,0,4,0,gemini,39,,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà feltrina s(an)ta maria zobenigo,4,0,0,4,gemini gpt,39,,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà pelarina san maria zobenigo,4,3,1,0,gpt,39,"Alla Ca' Pelarina S. Maria Zobenigo | Alla Ca' Pelarina, S. Maria Zobenigo | Alla Cà Pelarina, S. Maria Zobenigo",wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla pellegrina s.ta maria zobenigo,3,3,0,0,gemini,39,,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,casa di iseppo sciallegio alla colonna s.ta maria zobenigo,3,0,3,0,gemini,39,,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà pelarina in san moisè,2,2,0,0,gpt,39,Alla Ca' Pelarina in S. Moisè,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà pestiora s.ta maria zobenigo,2,0,2,0,claude,39,Alla Ca' Pestiora S.ta Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà vedrona san maria zobenigo,2,2,0,0,claude,39,Alla Ca' Vedrona St. Maria Zobenigo | Alla Ca' Vedrona Sta. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,osp.o di san gallo,2,0,2,0,gemini,39,Osp.o di S. Gallo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla casa geltron san maria lotenigo,1,0,1,0,claude_thinking,39,Alla Casa Geltron Santa Maria Lotenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla casa pelarina san maria zobenigo,1,0,1,0,gpt,39,"Alla casa Pelarina, S. Maria Zobenigo",wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla casa pellicina san maria zobenigo,1,0,1,0,gpt,39,"Alla casa Pellicina, S. Maria Zobenigo",wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla casa peltrina (s maria formosa),1,0,1,0,gpt,39,Alla casa Peltrina (S. Maria Formosa),wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla casa peltrina in san maria zobenigo,1,0,1,0,gpt,39,Alla casa Peltrina in S. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla casa peltrina san maria zobenigo,1,0,1,0,gpt,39,Alla casa Peltrina; S. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà delfina san maria molomoco,1,0,1,0,claude_thinking,39,"Alla Ca Delfina, S. Maria Molomoco",wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà felizina san maria lodenigo,1,0,1,0,claude_thinking,39,Alla Ca Felizina Santa Maria Lodenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà feltrina san maria lodenigo,1,1,0,0,claude_thinking,39,Alla Ca. Feltrina Sta. Maria Lodenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà feltrina san san maria zobenigo,1,0,0,1,gpt,39,"Alla Cà Feltrina, S. Santa Maria Zobenigo",wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà gelsina s.ta maria zobenigo,1,0,1,0,claude_thinking,39,Alla Ca' Gelsina S.ta Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà geltina st.a maria codenigo,1,0,1,0,claude_thinking,39,Alla Ca Geltina St.a Maria Codenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà peltrina in san maria zobenigo,1,0,1,0,gpt,39,Alla Cà. Peltrina in S. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà peltrina s.ta maria golenigo,1,0,1,0,claude_thinking,39,Alla Ca' Peltrina S.ta Maria Golenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà peltrina san maria colenigo,1,0,1,0,claude_thinking,39,"Alla Ca' Peltrina, S. Maria Colenigo",wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà peltrina san maria golenigo,1,1,0,0,claude_thinking,39,Alla Ca Peltrina St. Maria Golenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà pesaro santi maria zobenigo,1,1,0,0,claude,39,Alla Ca' Pesaro SS. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà pestura s.ta maria colenigo,1,0,1,0,claude_thinking,39,Alla Ca. Pestura S.ta Maria Colenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà seltana s.ta maria losenigo,1,0,1,0,claude_thinking,39,Alla Ca' Seltana S.ta Maria Losenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà tribuna san maria zobenigo,1,1,0,0,claude_thinking,39,Alla Ca Tribuna St. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà vedrora s.ta maria zobenigo,1,1,0,0,claude_thinking,39,Alla Ca' Vedrora S.ta Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà veltrina st.a maria lodenigo,1,1,0,0,claude_thinking,39,Alla Ca' Veltrina St.a Maria Lodenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà veltrina sta maria colennigo,1,1,0,0,claude_thinking,39,Alla Ca' Veltrina Sta Maria Colennigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà vettiona santi maria zobenigo,1,1,0,0,claude_thinking,39,Alla Ca Vettiona SS. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla cà vistiona san maria cotenigo,1,1,0,0,claude_thinking,39,Alla Ca' Vistiona St. Maria Cotenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,alla locanda pelarina san maria zobenigo,1,1,0,0,gpt,39,Alla loc: Pelarina S. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,calle cà pelosa in san maria zobenigo,1,0,1,0,gpt,39,Calle Ca' Pelosa in S. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,cortesia san maria zobenigo,1,1,0,0,claude,39,Cortesia S. Maria Zobenigo,wrong
,place_of_stay,alla cà feltrina san maria zobenigo,dalla loc.a del gallo alla fava in s.ta maria zobenigo,1,0,1,0,gemini,39,,wrong
,place_of_stay,alla locanda della verona san fantin,alla loc.a della corona san cantian,36,15,21,0,gemini31,39,Alla Loc.a della Corona S. Cantian,wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona,29,21,8,0,gpt,39,Alla Loc. della Verona | Alla Loc: della Verona | Alla loc. della Verona | Alla loc: della Verona,wrong
,place_of_stay,alla locanda della verona san fantin,alla focabella san fantin,17,7,10,0,gemini,39,Alla Focabella S. Fantin,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta bella vienna san fantia,16,0,16,0,claude,39,Alla Posta bella Vienna S. Fantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda a della corona san cantian,15,15,0,0,gemini31,39,Alla Loc:a della Corona S. Cantian,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta bella vienna san cantia,14,10,4,0,claude,39,Alla Posta bella Vienna S. Cantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona san cantian,9,0,9,0,gemini31,39,Alla Loc. della Verona S. Cantian | Alla Locanda della Verona S. Cantian,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta bella verona san fantia,8,2,6,0,claude claude_thinking,39,Alla Posta bella Verona S. Fantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla foci della tiziana san fantin,4,4,0,0,gemini,39,Alla Foci della Tiziana S. Fantin,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta della verona san fantia,4,4,0,0,claude,39,Alla Posta della Verona S. Fantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla loca bella verona san candia,3,0,3,0,claude_thinking,39,Alla Loca bella Verona S. Candia,wrong
,place_of_stay,alla locanda della verona san fantin,alla loca della verona san canzia,3,3,0,0,claude_thinking,39,Alla Loca della Verona S. Canzia,wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona (s cancian),3,0,3,0,gpt,39,Alla loc. della Verona (S. Cancian) | Alla locanda della Verona (S. Cancian),wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona san cancian,3,0,3,0,gpt,39,"Alla loc. della Verona, S. Cancian | Alla locanda della Verona; S. Cancian",wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona san canzia,3,0,3,0,claude_thinking,39,Alla Locanda della Verona S. Canzia,wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona san fantia,3,0,3,0,claude_thinking,39,Alla Locanda della Verona S. Fantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona san lando,3,3,0,0,gpt,39,Alla loc: della Verona S. Lando,wrong
,place_of_stay,alla locanda della verona san fantin,alla locc bella verona san cantia,3,3,0,0,claude_thinking,39,Alla Locc. bella Verona S. Cantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla loce bella verona san cantia,3,3,0,0,claude_thinking,39,Alla Loce bella Verona S. Cantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla pace della fiorona san candia,3,3,0,0,claude_thinking,39,Alla Pace della Fiorona S. Candia,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta bella verona san canzia,3,3,0,0,claude_thinking,39,Alla Posta bella Verona S. Canzia,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta della verona san iandia,3,3,0,0,claude_thinking,39,Alla Posta della Verona S. Iandia,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta della vienna san trinita,3,3,0,0,claude_thinking,39,Alla Posta della Vienna S. Trinita,wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona san cassan,2,0,2,0,gpt,39,"Alla locanda della Verona, S. Cassan",wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona san giustina,2,0,2,0,claude_thinking,39,Alla Locanda della Verona S. Giustina,wrong
,place_of_stay,alla locanda della verona san fantin,alla locanda della verona san isanta,2,0,2,0,claude_thinking,39,,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta bella verona san cantia,2,2,0,0,claude,39,Alla Posta bella Verona S. Cantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta bella verona san stantia,2,2,0,0,claude_thinking,39,Alla Posta bella Verona S. Stantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta dalla verona san canzia,2,0,2,0,claude_thinking,39,Alla Posta dalla Verona S. Canzia,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta dalla verona san fantin,2,0,2,0,claude_thinking,39,"Alla Posta dalla Verona, S. Fantin",wrong
,place_of_stay,alla locanda della verona san fantin,alla posta della verona san cantia,2,2,0,0,claude_thinking,39,Alla Posta della Verona S. Cantia,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta della verona san canzia,2,2,0,0,claude_thinking,39,Alla Posta della Verona S. Canzia,wrong
,place_of_stay,alla locanda della verona san fantin,alla posta della verona san fantin,2,0,2,0,claude_thinking,39,"Alla Posta della Verona, S. Fantin",wrong
,place_of_stay,alla locanda della verona san fantin,posta della verona san fantia,2,2,0,0,claude,39,Posta della Verona S. Fantia,wrong
,place_of_stay,alla locanda della verona san fantin,(blank),1,0,1,0,gpt,39,,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san pantalon,20,10,10,0,gemini,39,Alla Regina d'Ungheria S. Pantalon,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san pasqualan,4,3,1,0,claude_thinking,39,Alla Regina d'Ungheria S. Pasqualan,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san salvator,3,1,2,0,claude claude_thinking,39,Alla Regina d'Ungheria S. Salvator,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san barcular,1,1,0,0,claude_thinking,39,Alla Regina d'Ungheria S. Barcular,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san bartolomeo,1,0,1,0,claude_thinking,39,Alla Regina d'Ungheria S. Bartolomeo,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san baseutan,1,0,1,0,claude_thinking,39,Alla Regina d'Ungheria S. Baseutan,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san bastulan,1,0,1,0,claude_thinking,39,Alla Regina d'Ungheria S. Bastulan,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san basualian,1,1,0,0,claude_thinking,39,Alla Regina d'Ungheria S. Basualian,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san pascolan,1,1,0,0,claude_thinking,39,Alla Regina d'Ungheria S. Pascolan,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san pasqualin,1,1,0,0,claude_thinking,39,Alla Regina d'Ungheria S. Pasqualin,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san salvatore,1,0,1,0,claude_thinking,39,,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san samuele,1,0,1,0,claude_thinking,39,Alla Regina d'Ungheria S. Samuele,wrong
,place_of_stay,alla regina d'ungheria san paternian,alla regina d'ungheria san valvalan,1,0,1,0,claude_thinking,39,Alla Regina d'Ungheria S. Valvalan,wrong
,place_of_stay,alla regina d'ungheria san paternian,calle parigia san angelo,1,0,1,0,gpt,39,Calle Parigia S. Angelo,wrong
,place_of_stay,alla regina d'ungheria san paternian,regina d'ungheria san salvator,1,1,0,0,claude,39,Regina d'Ungheria S. Salvator,wrong
,place_of_stay,alli tre re san lucca,(blank),250,157,70,23,claude claude_thinking gemini gemini31 gpt,36,,wrong
,place_of_stay,alli tre re san lucca,alla locanda san lucca,94,3,91,0,claude_thinking gemini31,36,Alla Locanda S. Lucca | Alla locanda S. Lucca,wrong
,place_of_stay,alli tre re san lucca,casa di pietro danna locanda in san giovanni grisostomo,60,0,0,60,claude claude_thinking,36,Casa di Pietro Danna Locanda in S. Giovanni Grisostomo | In Casa di Pietro Danna Locanda In S. Gio Grisostomo | In Casa di Pietro Danna Locanda In S. Giovanni Grisostomo | In Casa di Pietro Danna Locanda in S. Giovanni Grisostomo,wrong
,place_of_stay,alli tre re san lucca,alli due re san lucca,40,40,0,0,gemini31,36,Alli due Re S. Lucca,wrong
