model,phase,run,n_gt,n_model,n_matched,precision,recall,f1,acc_title,acc_arrival_date,acc_departure_date,acc_place_of_stay,acc_with_spouse,acc_with_siblings,acc_children_count,acc_place_of_origin
claude,a,1,65,63,48,0.7619,0.7385,0.7500,0.8542,0.6170,0.6250,0.7500,1.0000,1.0000,1.0000,0.6667
claude,a,2,65,64,43,0.6719,0.6615,0.6667,0.8140,0.5000,0.6047,0.6047,1.0000,0.9767,1.0000,0.6744
claude,a,3,65,64,48,0.7500,0.7385,0.7442,0.8750,0.6250,0.6250,0.7083,0.9792,1.0000,1.0000,0.6458
claude,a,4,65,63,48,0.7619,0.7385,0.7500,0.8542,0.6170,0.6458,0.7500,0.9792,1.0000,1.0000,0.6667
claude,a,5,65,64,43,0.6719,0.6615,0.6667,0.8372,0.5000,0.6047,0.6279,1.0000,0.9535,1.0000,0.6512
claude,a,6,65,63,48,0.7619,0.7385,0.7500,0.8542,0.6170,0.6250,0.7083,1.0000,1.0000,1.0000,0.6458
claude,a,7,65,63,48,0.7619,0.7385,0.7500,0.8542,0.4468,0.6458,0.5833,1.0000,0.9375,1.0000,0.7083
claude,a,8,65,63,46,0.7302,0.7077,0.7188,0.8478,0.4667,0.6304,0.6304,1.0000,0.9783,1.0000,0.6522
claude,a,9,65,63,42,0.6667,0.6462,0.6562,0.8095,0.4878,0.6190,0.6429,1.0000,0.9524,1.0000,0.6429
claude,a,10,65,64,48,0.7500,0.7385,0.7442,0.8750,0.6250,0.6250,0.7292,1.0000,1.0000,1.0000,0.6250
claude_thinking,a,1,65,65,52,0.8000,0.8000,0.8000,0.7500,0.5600,0.6863,0.5962,1.0000,0.9615,1.0000,0.6154
claude_thinking,a,2,65,64,49,0.7656,0.7538,0.7597,0.8163,0.6667,0.6735,0.5306,1.0000,0.9388,1.0000,0.6531
claude_thinking,a,3,65,64,52,0.8125,0.8000,0.8062,0.7692,0.6863,0.6731,0.5385,1.0000,0.9615,1.0000,0.6154
claude_thinking,a,4,65,65,51,0.7846,0.7846,0.7846,0.8235,0.4706,0.6863,0.4902,1.0000,0.9608,1.0000,0.7451
claude_thinking,a,5,65,65,49,0.7538,0.7538,0.7538,0.7959,0.4375,0.6875,0.6531,1.0000,0.9388,1.0000,0.5918
claude_thinking,a,6,65,63,51,0.8095,0.7846,0.7969,0.7647,0.4314,0.7255,0.4314,1.0000,1.0000,1.0000,0.6275
claude_thinking,a,7,65,64,48,0.7500,0.7385,0.7442,0.7708,0.6170,0.7917,0.3542,1.0000,0.9583,1.0000,0.6458
claude_thinking,a,8,65,64,47,0.7344,0.7231,0.7287,0.8723,0.6304,0.6383,0.5106,1.0000,0.9574,1.0000,0.5745
claude_thinking,a,9,65,63,49,0.7778,0.7538,0.7656,0.8367,0.5106,0.6875,0.6122,1.0000,0.9592,1.0000,0.5714
claude_thinking,a,10,65,63,49,0.7778,0.7538,0.7656,0.7959,0.6735,0.6327,0.6122,1.0000,0.9592,1.0000,0.6531
gemini31,a,1,65,65,62,0.9538,0.9538,0.9538,0.7419,0.8852,0.8197,0.6129,1.0000,0.9677,1.0000,0.7258
gemini31,a,2,65,65,62,0.9538,0.9538,0.9538,0.7097,0.8814,0.8197,0.6129,1.0000,0.9677,1.0000,0.7258
